company_slug,stage,date,amount_m,valuation_m,lead_investors,source,notes
1x-technologies,Series A2,2023-03,23.5,210.0,OpenAI Startup Fund,https://www.1x.tech/discover/1x-rasies-23-5m-in-series-a2-funding-led-by-open-ai,"First major round after the 2022 rebrand from Halodi Robotics to 1X Technologies. OpenAI's backing was a strong signal and drew significant attention.
"
1x-technologies,Series B,2024-01-11,100.0,800.0,EQT Ventures,https://www.1x.tech/discover/1x-secures-100m-in-series-b-funding,"Brought total funding to ~$126M. Capital earmarked for enterprise customers and bringing NEO bipedal android to market.
"
1x-technologies,Seed / Early,~2021-05,86.0,,Valinor,https://valinor.no/en/investments/halodi-robotics/,"Raised as Halodi Robotics. Exact seed timing uncertain; May 2021 is the earliest publicly documented round of this size.
"
1x-technologies,Series C (UNCONFIRMED),~2025-09 (reported target),,10000.0,Unknown,https://techstartups.com/2025/09/24/norways-1x-raising-1b-at-10b-valuation-to-bring-humanoid-robot-neo-into-homes/,"UNCERTAINTY: The Information and other outlets reported in Sep 2025 that 1X was in talks to raise up to $1B. As of March 2026, I could not independently confirm this round closed or identify the final investors. Do not treat this as confirmed.
"
abnormal-security,Seed,2018,,,Greylock Partners,https://news.greylock.com/our-investment-in-abnormal-security-5b58650c690c,Company incubated at Greylock's San Francisco offices. Exact seed amount not publicly disclosed.
abnormal-security,Series A,2019-11,24.0,,Greylock Partners,https://abnormal.ai/about/news/launching-24m-series-a-funding-from-greylock,Public launch of the company coincided with Series A announcement.
abnormal-security,Series B,2020-11,50.0,,Menlo Ventures,https://abnormal.ai/about/news/50m-series-b-funding,Greylock participated. Total funding reached ~$75M.
abnormal-security,Series C,2022-05,210.0,4000.0,Insight Partners,https://abnormal.ai/about/news/series-c-funding-4b-valuation,Greylock and Menlo Ventures also participated. Tripled ARR in preceding year.
abnormal-security,Series D,2024-08,250.0,5100.0,Wellington Management,https://abnormal.ai/about/news/series-d-5b-valuation,"Greylock, Menlo Ventures, Insight Partners, and CrowdStrike Falcon Fund participated. Announced alongside crossing $200M ARR."
agility-robotics,Seed / Early Grants,2015–2017,,,ONAMI (Oregon Nanoscience and Microtechnologies Institute),https://onami.us/onami-success-stories/agility-robotics,
agility-robotics,Series A,2018,8.0,,Playground Global,https://onami.us/onami-success-stories/agility-robotics-secures-8m-series-a-funding,
agility-robotics,Series B,2022-04,150.0,,DCVC; Playground Global,https://www.agilityrobotics.com/content/agility-robotics-raises-150m-series-b-led-by-dcvc-and-playground-global,"Amazon's investment through its Industrial Innovation Fund signaled strategic alignment for warehouse deployment of Digit.
"
agility-robotics,Series C,2025-03,400.0,2100.0,WP Global Partners,https://www.geekwire.com/2025/agility-robotics-reportedly-raising-400m-for-humanoid-warehouse-robots/,"Funding intended to scale operations through the 10,000-unit production milestone at RoboFab.
"
agility-robotics,Undisclosed Round,2025-09,,,[not disclosed],https://tracxn.com/d/companies/agilityrobotics/__zWyvO8soXb6xhR16FWzvRmbHXslWot5BI_JRbmtdaF0/funding-and-investors,
anduril,Seed,2017-08,17.5,,Founders Fund,https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors,
anduril,Series A,2018-06,41.0,250.0,Founders Fund,https://www.crunchbase.com/funding_round/anduril-industries-series-a--32661f15,
anduril,Series B,2019-09,120.0,1000.0,Andreessen Horowitz,https://www.cnbc.com/2019/09/11/anduril-valued-at-1-billion-in-round-including-andreessen-horowitz.html,
anduril,Series C,2020-07,200.0,1900.0,Andreessen Horowitz,https://www.crunchbase.com/funding_round/anduril-industries-series-c--bc53d7d0,
anduril,Series D,2021-06,450.0,4600.0,Elad Gil,https://research.contrary.com/company/anduril,
anduril,Series E,2022-12,1480.0,8480.0,Valor Equity Partners,https://www.anduril.com/news/anduril-raises-usd1-48-billion-in-series-e-funding,
anduril,Series F,2024-08,1500.0,14000.0,Sands Capital; Founders Fund,https://techcrunch.com/2024/08/07/anduril-raises-1-5b-to-hyper-scale-defense-production/,
anduril,Series G,2025-06,2500.0,30500.0,Founders Fund,https://techcrunch.com/2025/06/05/anduril-raises-2-5b-at-30-5b-valuation-led-by-founders-fund/,
anduril,Series H,2026-03,4000.0,60000.0,Andreessen Horowitz; Thrive Capital,https://techcrunch.com/2026/03/03/anduril-aims-at-60-billion-valuation-in-new-funding-round/,
anomalo,,2021,,,Foundation Capital,https://www.anomalo.com/blog/anomalo-raises-a-33-million-series-a-led-by-norwest-venture-partners/,
anomalo,,2022,,,Norwest Venture Partners,https://www.anomalo.com/blog/anomalo-raises-a-33-million-series-a-led-by-norwest-venture-partners/,
anomalo,,2024-01,,,SignalFire,https://www.globenewswire.com/news-release/2024/01/24/2815554/0/en/Anomalo-Reports-Record-Demand-for-Its-Data-Quality-Platform-as-It-Raises-a-33-Million-Growth-Round-With-Participation-From-Strategic-Investor-Databricks-Ventures.html,
anthropic,Series A,2021-05,124.0,550.0,Jaan Tallinn; Dustin Moskovitz,https://news.crunchbase.com/ai/anthropic-raises-30b-second-largest-deal-all-time/,
anthropic,Series B,2022-04,580.0,4000.0,FTX (Sam Bankman-Fried),https://www.clay.com/dossier/anthropic-funding,
anthropic,Google strategic investment,2023-02,550.0,,Google,https://en.wikipedia.org/wiki/Anthropic,Part of a broader commitment; Google eventually invested ~$2B total across 2023.
anthropic,Series C,2023-05,450.0,,Spark Capital,https://www.clay.com/dossier/anthropic-funding,"Menlo Ventures, Salesforce Ventures, and Google also participated."
anthropic,Amazon strategic investment (tranche 1),2023-09,1250.0,,Amazon,https://techcrunch.com/2023/09/25/amazon-to-invest-up-to-4-billion-in-ai-startup-anthropic/,Initial tranche of a $4B commitment. Anthropic named AWS primary cloud provider.
anthropic,Series D,2024-02,750.0,18400.0,Menlo Ventures,https://www.theinformation.com/articles/anthropic-to-raise-750-million-in-menlo-ventures-led-deal,Structured as an SPV (special purpose vehicle).
anthropic,Amazon strategic investment (tranche 2),2024-03,2750.0,,Amazon,https://www.aboutamazon.com/news/aws/amazon-invests-additional-4-billion-anthropic-ai,Completed the initial $4B Amazon commitment.
anthropic,Amazon strategic investment (round 2),2024-11,4000.0,41000.0,Amazon,https://www.cnbc.com/2024/11/22/amazon-to-invest-another-4-billion-in-anthropic-openais-biggest-rival.html,Brought Amazon's total investment to $8B.
anthropic,Series E,2025-03,3500.0,61500.0,Lightspeed Venture Partners,https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation,"Lightspeed contributed $1B. Bessemer, Cisco Investments, Fidelity, General Catalyst, Jane Street, Menlo Ventures, Salesforce Ventures also participated."
anthropic,Series F,2025-09,13000.0,183000.0,GIC; Coatue Management,https://sacra.com/c/anthropic/,"Sequoia Capital, ICONIQ, and Lightspeed also participated."
anthropic,Series G,2026-02,30000.0,380000.0,GIC; Coatue; D.E. Shaw; Dragoneer; Founders Fund; ICONIQ; MGX,https://www.cnbc.com/2026/02/12/anthropic-closes-30-billion-funding-round-at-380-billion-valuation.html,Second-largest venture funding deal of all time. Microsoft and Nvidia also participated.
applied-intuition,Seed,2017-01,,,Floodgate,https://research.contrary.com/company/applied-intuition,
applied-intuition,Series A,2018-09,11.5,,Andreessen Horowitz,https://www.crunchbase.com/funding_round/applied-intuition-series-a--06b58f4c,
applied-intuition,Series B,2019-09-12,40.0,,General Catalyst,https://www.globenewswire.com/news-release/2019/09/12/1914818/0/en/Applied-Intuition-Secures-40-Million-in-Series-B-Funding-Led-by-General-Catalyst.html,
applied-intuition,Series C,2021-03,125.0,1250.0,Lux Capital; Andreessen Horowitz; General Catalyst,https://www.appliedintuition.com/news/series-c,
applied-intuition,Series D,2021-11-11,175.0,3600.0,Elad Gil; Addition; Coatue Management,https://www.prnewswire.com/news-releases/applied-intuition-raises-175m-series-d-co-led-by-elad-gil-addition-and-coatue-management-at-3-6b-valuation-301422396.html,
applied-intuition,Series E,2024-03-12,250.0,6000.0,Lux Capital; Elad Gil,https://techcrunch.com/2024/03/12/applied-intuition-series-e-raise-funding-andreessen-lux/,
applied-intuition,Series F,2025-06-17,600.0,15000.0,BlackRock; Kleiner Perkins,https://techcrunch.com/2025/06/17/applied-intuition-raises-600-million-as-it-pushes-further-into-defense/,
atlan,,2019-07,,,WaterBridge Ventures,https://techcrunch.com/2019/07/01/atlan-socialcops/,
atlan,,2021-05,,,Insight Partners,https://tracxn.com/d/companies/atlan/__wmS8cTNiTpcWtSAsRTmxu2alNUcymWvjDPnevifoSnQ/funding-and-investors,
atlan,,2023-03,,,Insight Partners,https://tracxn.com/d/companies/atlan/__wmS8cTNiTpcWtSAsRTmxu2alNUcymWvjDPnevifoSnQ/funding-and-investors,
atlan,,2024-05,,,GIC (Singapore sovereign wealth fund); Meritech Capital,https://siliconangle.com/2024/05/08/atlan-raises-105m-750m-valuation-data-ai-governance-platform/,
chaos-industries,Series B,2024-06,145.0,,,https://news.crunchbase.com/venture/defense-tech-funding-growth-chaos-industries/,
chaos-industries,Series C,2025-05,275.0,2000.0,Accel; NEA,https://www.ensemble.vc/research/chaos-industries-reaches-2b-valuation-in-series-c-led-by-accel-nea,
chaos-industries,Series D,2025-11,510.0,4500.0,Valor Equity Partners,https://news.crunchbase.com/defense-tech/funding-hits-record-high-2025-snapshot/,
cohere,,2021-09-07,,,Index Ventures,https://en.wikipedia.org/wiki/Cohere,
cohere,,2022-02-16,,,Tiger Global Management,https://betakit.com/cohere-closes-125-million-usd-series-b-round-led-by-tiger-global/,
cohere,,2023-06-01,,,Inovia Capital,https://en.wikipedia.org/wiki/Cohere,
cohere,,2024-07-22,,,PSP Investments,https://betakit.com/cohere-series-d-tops-out-at-500-million-raised-at-5-5-billion-valuation/,
cohere,,2025-08-14,,,Radical Ventures; Inovia Capital,https://cohere.com/blog/august-2025-funding-round,
cohere,,2025-09-24,,,,https://betakit.com/coheres-valuation-hits-7-billion-usd-following-100-million-round-extension/,
corvus-robotics,Series A,2024-09-16,18.0,,Spero Ventures; S2G Investments,https://blog.corvus-robotics.com/corvus-one-launch-and-series-a-funding,"Coincided with the launch of Corvus One, the company's flagship fully autonomous warehouse drone. Total funding reached ~$28M.
"
corvus-robotics,Seed,~2018,,,,https://www.ycombinator.com/companies/corvus-robotics,"Graduated from Y Combinator S18 batch.
"
covariant,Seed,2017-11,7.0,,Amplify Partners,https://en.wikipedia.org/wiki/Covariant_(company),Founded as Embodied Intelligence. Renamed to Covariant in 2019.
covariant,Series A,2019-05,20.0,,Index Ventures,https://en.wikipedia.org/wiki/Covariant_(company),
covariant,Series B,2020-05,40.0,,Index Ventures,https://covariant.ai/covariant-raises-usd40-million-in-series-b-funding-to-bring-ai-robotics-to-new-industries/,
covariant,Series C,2021-07,80.0,,Index Ventures,https://techcrunch.com/2021/07/27/robotic-ai-firm-covariant-raises-another-80-million/,Amplify Partners and Radical Ventures also participated.
covariant,Series C extension,2023-04,75.0,625.0,Radical Ventures; Index Ventures,https://techcrunch.com/2023/04/04/covariants-robotic-picking-at-nabs-another-75m/,"CPPIB, Amplify Partners, Gates Frontier Holdings, AIX Ventures, Northgate Capital also participated. Brought total funding to $222M. Valuation of $625M reported in whistleblower filings."
covariant,Amazon reverse acquihire,2024-08,400.0,,Amazon,https://www.washingtonpost.com/technology/2025/01/18/amazon-antitrust-ai-whistleblower/,"$380M upfront + $20M final licensing payment due one year after close. Not a traditional acquisition -- Amazon licensed Covariant's technology (non-exclusive) and hired 3 co-founders + ~25% of staff. Structured to avoid premerger antitrust reporting, per whistleblower complaint."
cradle,Seed,2022-11,5.5,,Index Ventures,https://www.cradle.bio/blog/cradle-raises-5m,"Angel investors included Feike Sijbesma (Honorary Chairman, former CEO of Royal DSM) and Emily Leproust (founder of Twist Bioscience)."
cradle,Series A,2023-11,24.0,,Index Ventures,https://www.indexventures.com/perspectives/biotech-startup-cradle-raises-24m-and-signs-partnerships-with-industry-leaders/,"Kindred Capital participated. Angel investors included Chris Gibson (co-founder/CEO of Recursion) and Tom Glocer (former CEO of Thomson Reuters, Lead Director at Merck)."
cradle,Series B,2024-11,73.0,,IVP (Institutional Venture Partners),https://www.cradle.bio/blog/series-b,Index Ventures and Kindred Capital participated. Brought total raised to over $100M.
databricks,,2013-09,,,Andreessen Horowitz,https://www.databricks.com/company/newsroom/press-releases,
databricks,,2014-07,,,New Enterprise Associates (NEA),https://tracxn.com/d/companies/databricks/__h71WlGEvmuefCzSdZogxaGihmuCYu0rBKj3hkmJQF7M/funding-and-investors,
databricks,,2016-12,,,New Enterprise Associates (NEA),https://www.crunchbase.com/funding_round/databricks-series-c--e9a8fa71,
databricks,,2017-08,,,Andreessen Horowitz,https://tracxn.com/d/companies/databricks/__h71WlGEvmuefCzSdZogxaGihmuCYu0rBKj3hkmJQF7M/funding-and-investors,
databricks,,2019-02,,,Andreessen Horowitz,https://www.databricks.com/company/newsroom/press-releases/databricks-250-million-funding-supports-explosive-growth-and-global-demand-for-unified-analytics-brings-valuation-to-2-75-billion,
databricks,,2019-10,,,Andreessen Horowitz (Late Stage Venture Fund),https://www.databricks.com/company/newsroom/press-releases/databricks-growth-draws-400-million-series-f-investment-and-6-2-billion-valuation,
databricks,,2021-02,,,Franklin Templeton,https://www.databricks.com/company/newsroom/press-releases/databricks-raises-1-billion-series-g-investment-at-28-billion-valuation,
databricks,,2021-08,,,Counterpoint Global (Morgan Stanley),https://www.databricks.com/company/newsroom/press-releases/databricks-raises-1-6-billion-series-h-investment-at-38-billion-valuation,
databricks,,2023-09,,,T. Rowe Price,https://www.databricks.com/company/newsroom/press-releases/databricks-raises-series-i-investment-43b-valuation,
databricks,,2024-12,,,Thrive Capital,https://www.databricks.com/company/newsroom/press-releases/databricks-raising-10b-series-j-investment-62b-valuation,
databricks,,2025-08,,,Andreessen Horowitz; Insight Partners; MGX; Thrive Capital; WCM Investment Management,https://www.databricks.com/company/newsroom/press-releases/databricks-raising-series-k-investment-100-billion-valuation,
databricks,,2026-01,,,Insight Partners; Fidelity Management & Research; J.P. Morgan Asset Management,https://www.cnbc.com/2026/02/09/databricks-completes-5-billion-funding-round-with-2-billion-in-debt.html,
deepl,Series B (sometimes reported as Series A),2023-01,,,IVP,https://techcrunch.com/2023/01/11/deepl-the-ai-based-language-translator-raises-over-100m-at-a-1b-valuation/,
deepl,Series C (sometimes reported as Series B),2024-05-22,,,Index Ventures,https://techcrunch.com/2024/05/22/deepl-the-ai-language-translation-startup-nabs-300m-on-a-2b-valuation-to-focus-on-b2b-growth/,Doubled valuation in ~16 months. Earmarked for B2B expansion and product development.
deepl,Seed / Early (details sparse),~2017-2018,,,,https://tracxn.com/d/companies/deepl/__mTFDDSjOlFbUE5DY_w1NWY3gI5ttRRBOXtV7p6GCqJE/funding-and-investors,Initial backing from Benchmark and btov Partners.
elevenlabs,Pre-Seed,2023-01,2.0,,Credo Ventures,https://tracxn.com/d/companies/elevenlabs/__Tvkv2vcQvT5RiO80KqXicawZyFtA-r7-J533YWuiDrM/funding-and-investors,
elevenlabs,Series A,2023-06,19.0,100.0,Andreessen Horowitz; Nat Friedman; Daniel Gross,https://elevenlabs.io/blog/elevenlabs-launches-new-generative-voice-ai-products-and-announces-19m-series-a-round-led-by-nat-friedman-daniel-gross-and-andreessen-horowitz,
elevenlabs,Series B,2024-01,80.0,1100.0,Andreessen Horowitz; Nat Friedman; Daniel Gross; Sequoia Capital,https://techcrunch.com/2024/01/22/voice-cloning-startup-elevenlabs-lands-80m-achieves-unicorn-status/,
elevenlabs,Series C,2025-01,180.0,3300.0,Andreessen Horowitz; ICONIQ Growth,https://elevenlabs.io/blog/series-c,
elevenlabs,Series D,2026-02,500.0,11000.0,Sequoia Capital,https://techcrunch.com/2026/02/04/elevenlabs-raises-500m-from-sequioia-at-a-11-billion-valuation/,
epirus,Seed,2019-01,,,,https://research.contrary.com/company/epirus,
epirus,Series A,2020-06,6.5,,,https://research.contrary.com/company/epirus,
epirus,Series B,2021-06,70.0,,8VC,https://www.epirusinc.com/press-releases/epirus-inc-raises-70m-in-series-b-funding-advancing-directed-energy-for-defense-and-commercial-applications,
epirus,Series C,2022-02,200.0,1350.0,8VC,https://techstartups.com/2022/02/15/directed-energy-weapon-tech-startup-epirus-gets-200m-cash-infusion-develop-drone-zapping-weapons-u-s-military-now-valued-1-35-billion/,
epirus,Series D,2025-03,250.0,,8VC; Washington Harbour Partners,https://techcrunch.com/2025/03/04/defense-tech-startup-epirus-raises-250m-series-d-to-counter-drone-swarms/,
field-ai,Growth Round,2025-08-20,314.0,2000.0,Bezos Expeditions; Prysm Capital; Temasek,https://www.cnbc.com/2025/08/20/gates-nvidia-fieldai-robotics.html,"Brought total raised to over $405M. Backed by Bezos, Gates, and NVIDIA. Valuation close to $2 billion.
"
field-ai,Earlier Rounds,~2024 (late),91.0,,,https://www.prnewswire.com/news-releases/fieldai-announces-over-400m-in-funds-raised-to-advance-embodied-ai-at-scale-302534675.html,"Initial round raised in late 2024 before the larger 2025 raise.
"
figure-ai,Seed,2022,100.0,,Brett Adcock (personal capital),https://en.wikipedia.org/wiki/Figure_AI,
figure-ai,Series A,2023-05,70.0,500.0,Parkway Venture Capital,https://sacra.com/c/figure-ai/,
figure-ai,Series B,2024-02,675.0,2600.0,Microsoft; Jeff Bezos (Bezos Expeditions); OpenAI Startup Fund; NVIDIA,https://www.prnewswire.com/news-releases/figure-raises-675m-at-2-6b-valuation-and-signs-collaboration-agreement-with-openai-302074897.html,"Coincided with OpenAI collaboration agreement for next-gen AI models for humanoid robots. Figure also secured Microsoft Azure for AI infrastructure.
"
figure-ai,Series C,2025-09,,39000.0,Parkway Venture Capital,https://www.figure.ai/news/series-c,"15x valuation jump in ~18 months (from $2.6B to $39B). Largest humanoid-robotics round at the time.
"
forsight-robotics,Series B,2025-06-24,125.0,,Eclipse,https://www.businesswire.com/news/home/20250624465565/en/ForSight-Robotics-Secures-$125M-in-Series-B-Funding-Addressing-Global-Surgeon-Shortage-and-Exploding-Demand-for-Ophthalmic-Surgery,"Brought total funding to $195M. Dr. Fred Moll, founder of Intuitive Surgical (maker of the da Vinci system), is a notable individual investor -- a strong endorsement from the godfather of surgical robotics.
"
forsight-robotics,Series A,~2022,70.0,,,https://www.crunchbase.com/organization/forsight-robotics,"Early rounds to develop the ORYOM ophthalmic surgical robotics platform.
"
fourier-intelligence,Series E,2025-01-07,,,Guoxin Investment; Pudong Venture Capital,https://humanoidroboticstechnology.com/articles/humanoid-funding-rounds-in-2025/,"Ninth funding round overall. Prosperity7 (Saudi Aramco's VC arm) participation reflects growing Middle Eastern interest in humanoid robotics.
"
fourier-intelligence,Series D,~2023,,,SoftBank Vision Fund II,https://kr-asia.com/fourier-intelligences-founder-breaks-down-whats-next-for-humanoid-robots,"SoftBank's investment signaled global ambitions for Fourier's humanoid program.
"
gather-ai,Series A-1,2024-03,17.0,72.0,Bain Capital Ventures,https://www.gather.ai/news/gather-ai-raises-17m-to-accelerate-growth-and-bring-warehouses-into-the-modern-era-with-ai-powered-inventory-monitoring,"Used to expand commercial deployments and build out AI-powered inventory analytics platform.
"
gather-ai,Series B,2026-02-09,40.0,,"Smith Point Capital (Keith Block, former Salesforce co-CEO)",https://techcrunch.com/2026/02/09/gather-ai-maker-of-curious-warehouse-drones-lands-40m-led-by-keith-blocks-firm/,"Brought total funding to $74M. Led by Keith Block's VC firm, signaling enterprise SaaS credibility for the platform.
"
gather-ai,Seed,~2019,,,,https://www.gather.ai,"Early stage funding after spinning out of CMU Robotics Institute.
"
groq,Series A,2016-12,10.0,30.0,Social Capital (Chamath Palihapitiya),https://techcrunch.com/2018/09/05/secretive-semiconductor-startup-groq-raises-52m-from-social-capital/,Very early bet by Chamath. The company was highly secretive at this stage.
groq,Series B,2018-09,52.0,,Social Capital (Chamath Palihapitiya),https://techcrunch.com/2018/09/05/secretive-semiconductor-startup-groq-raises-52m-from-social-capital/,Raised $52.3M of a planned $60M round. Social Capital continued as lead.
groq,Series C,2021-04,300.0,1000.0,Tiger Global Management; D1 Capital Partners,https://www.bloomberg.com/news/articles/2021-04-14/tiger-global-d1-lead-300-million-round-in-ai-chip-startup-groq,Achieved unicorn status. Addition LP (Lee Fixel) and Spruce House Partnership also participated. BlackRock entered here.
groq,Series D,2024-08,640.0,2800.0,BlackRock Private Equity Partners,https://groq.com/newsroom/groq-raises-640m-to-meet-soaring-demand-for-fast-ai-inference,"Neuberger Berman, Cisco Investments, Samsung Catalyst Fund, KDDI Open Innovation Fund III also participated. Funds earmarked for scaling GroqCloud and deploying 100K+ additional LPUs."
groq,Saudi Arabia / HUMAIN commitment,2025-02,1500.0,,Kingdom of Saudi Arabia (PIF / HUMAIN),https://groq.com/blog/saudi-arabia-announces-1-5-billion-expansion-to-fuel-ai-powered-economy-with-groq,"Infrastructure deployment commitment, not equity round. For LPU-based inference infrastructure in Dammam data center. Groq became key tech provider for HUMAIN, Saudi's state-owned AI entity."
groq,Series E,2025-09,750.0,6900.0,Disruptive,https://groq.com/newsroom/groq-raises-750-million-as-inference-demand-surges,"BlackRock, Neuberger Berman, DTCP, Samsung, Cisco, D1, Altimeter, 1789 Capital, and Infinitum also participated. More than doubled the Series D valuation."
groq,Nvidia licensing / acqui-hire,2025-12,20000.0,,Nvidia,https://www.cnbc.com/2025/12/24/nvidia-buying-ai-chip-startup-groq-for-about-20-billion-biggest-deal.html,"Structured as non-exclusive licensing agreement + acqui-hire, not a traditional acquisition. $17B in cash across three installments by end of 2026. Jonathan Ross and senior leaders joined Nvidia. Groq continues as nominally independent company under CFO Simon Edwards as CEO. Nvidia's largest deal ever (previous: Mellanox at ~$7B in 2019)."
helsing,Seed,2021-12,110.0,,Prima Materia; Spotify's Daniel Ek,https://helsing.ai/newsroom/helsing-raises-eur600m-to-invest-in-european-technological-sovereignty,
helsing,Series A,2023-03,223.0,,General Catalyst; Accel,https://en.wikipedia.org/wiki/Helsing_(company),
helsing,Series C,2024-07,489.0,5400.0,General Catalyst,https://sacra.com/c/helsing/,
helsing,Series D,2025-06,694.0,13200.0,Prima Materia,https://tech.eu/2025/06/17/helsing-raises-600-million-elevating-valuation-to-eur12bn/,
mind-robotics,Seed,2025-11,115.0,,Eclipse,https://techcrunch.com/2025/11/04/rivian-creates-another-spinoff-company-called-mind-robotics/,Raised alongside the November 2025 spinout from Rivian. Hanabi Capital Management also participated. Some sources report the seed as $110M rather than $115M -- exact figure uncertain.
mind-robotics,Series A,2026-03,500.0,2000.0,Accel; Andreessen Horowitz,https://www.businesswire.com/news/home/20260311414783/en/Mind-Robotics-Announces-$500M-Financing-to-Support-Deployment-of-AI-Powered-Robots-at-Industrial-Scale,"Co-led by Accel and a16z. Sameer Gandhi (Accel) joined the board. Rivian Automotive remains a major shareholder. Announced March 11, 2026. Valuation reported at approximately $2B."
